Name,Brand,Main Accords,Top Notes,Middle Notes,Base Notes,image_query
#0154 Pumpkin Pie CB I Hate Perfume 1998,CB I Hate Perfume,"Green, Leathery, Chypre, Animal",,,,"photos of #0154 Pumpkin Pie CB I Hate Perfume 1998 perfume bottle, with hints of Green Leathery, product photography, minimalist, cinematic light"
#102 Winter 1972 CB I Hate Perfume,CB I Hate Perfume,"Green, Spicy, Earthy, Floral, Sweet",,,,"photos of #102 Winter 1972 CB I Hate Perfume perfume bottle, with hints of Green Spicy, product photography, minimalist, cinematic light"
#104 Greenbriar 1968 CB I Hate Perfume 2002,CB I Hate Perfume,"Earthy, Resinous, Woody, Spicy, Sweet",,,,"photos of #104 Greenbriar 1968 CB I Hate Perfume 2002 perfume bottle, with hints of Earthy Resinous, product photography, minimalist, cinematic light"
#105 I am a Dandelion CB I Hate Perfume 2008,CB I Hate Perfume,"Sweet, Gourmand, Green, Spicy, Resinous","Meringue, Magnolia, Myrrh","Parsley, Clove, Cypriol","Green vanilla, White oud, Nausea","photos of #105 I am a Dandelion CB I Hate Perfume 2008 perfume bottle, with hints of Sweet Gourmand, product photography, minimalist, cinematic light"
#108 On A Clear Day You Can See Forever CB I Hate Perfume 2007,CB I Hate Perfume,"Smoky, Sweet, Gourmand, Spicy, Powdery","Cardamom, Pink pepper","Juniper, Vanilla, Quarklox","Cypress, Frankincense, Musk","photos of #108 On A Clear Day You Can See Forever CB I Hate Perfume 2007 perfume bottle, with hints of Smoky Sweet, product photography, minimalist, cinematic light"
#116 Vetiver di Genova Le Ré Noir,Le Ré Noir,"Floral, Fresh, Woody, Citrus, Green",,,,"photos of #116 Vetiver di Genova Le Ré Noir perfume bottle, with hints of Floral Fresh, product photography, minimalist, cinematic light"
#126 Tabac du Chaman Le Ré Noir,Le Ré Noir,"Smoky, Sweet, Spicy, Leathery, Woody",,,,"photos of #126 Tabac du Chaman Le Ré Noir perfume bottle, with hints of Smoky Sweet, product photography, minimalist, cinematic light"
#140 Délice du Figuier Le Ré Noir,Le Ré Noir,"Green, Woody, Fresh",,,,"photos of #140 Délice du Figuier Le Ré Noir perfume bottle, with hints of Green Woody, product photography, minimalist, cinematic light"
#164 À L'Apogée de Vert Le Ré Noir 1971,Le Ré Noir,"Spicy, Green, Woody, Fresh, Resinous","Basil, Brazilian rosewood, Galbanum, Grapefruit, Italian bergamot, Ylang-ylang, Jasmine, Rose","Frankincense, Lebanon cedar, Cascarilla, Nutmeg, Patchouli, Sandalwood","Cistus, Labdanum","photos of #164 À L'Apogée de Vert Le Ré Noir 1971 perfume bottle, with hints of Spicy Green, product photography, minimalist, cinematic light"
#18 Coffee Pink Pepper Tonka Bean Prouvé,Prouvé,"Sweet, Gourmand, Spicy, Powdery, Creamy","Bergamot, Orange","Amyris, Coffee, Pink pepper","Musk, Patchouli, Tonka bean, Vetiver","photos of #18 Coffee Pink Pepper Tonka Bean Prouvé perfume bottle, with hints of Sweet Gourmand, product photography, minimalist, cinematic light"
#205 7 Billion Hearts CB I Hate Perfume 1996,CB I Hate Perfume,"Fresh, Citrus, Spicy, Aquatic, Synthetic","Rosemary, Bergamot","White pepper, Iris, Nutmeg","Oakmoss, Cashmere, Patchouli","photos of #205 7 Billion Hearts CB I Hate Perfume 1996 perfume bottle, with hints of Fresh Citrus, product photography, minimalist, cinematic light"
#211 Mon Vetiver Narcotique Le Ré Noir,Le Ré Noir,"Green, Fruity, Fresh",,,,"photos of #211 Mon Vetiver Narcotique Le Ré Noir perfume bottle, with hints of Green Fruity, product photography, minimalist, cinematic light"
#220 Tabou Le Ré Noir 2003,Le Ré Noir,"Floral, Creamy, Fresh, Sweet, Powdery",,,,"photos of #220 Tabou Le Ré Noir 2003 perfume bottle, with hints of Floral Creamy, product photography, minimalist, cinematic light"
